,log_realized_volatility
1973-03-31,-3.2321998014173934
1973-04-30,-3.2429492917029323
1973-05-31,-2.893544020680286
1973-06-30,-3.068118063591378
1973-07-31,-3.145071698137291
1973-08-31,-3.4070532956957664
1973-09-30,-3.4928851304433044
1973-10-31,-3.305570972406948
1973-11-30,-2.7090421214099845
1973-12-31,-2.6176517458947837
1974-01-31,-2.8384321729245268
1974-02-28,-3.136290128405137
1974-03-31,-3.189072800451725
1974-04-30,-3.177691821334002
1974-05-31,-3.0829959376713276
1974-06-30,-3.038831026922051
1974-07-31,-2.6579501853653116
1974-08-31,-2.6712372912167752
1974-09-30,-2.42408785083193
1974-10-31,-2.3104479518574754
1974-11-30,-2.8191854029331265
1974-12-31,-2.783854485191911
1975-01-31,-2.766448801262045
1975-02-28,-3.064635438817896
1975-03-31,-3.0437284814223005
1975-04-30,-3.0392543157132597
1975-05-31,-3.1595074500009908
1975-06-30,-3.3057188481750948
1975-07-31,-3.3425261595455256
1975-08-31,-3.0278744909717537
1975-09-30,-3.0372939259322425
1975-10-31,-3.0745569189091184
1975-11-30,-3.5592347516904876
1975-12-31,-3.3072363548984627
1976-01-31,-3.1186652855291426
1976-02-29,-3.3543892033223957
1976-03-31,-3.33633295025962
1976-04-30,-3.451178590663675
1976-05-31,-3.4843996311214593
1976-06-30,-3.47181638819191
1976-07-31,-3.8139046645420382
1976-08-31,-3.600951004087441
1976-09-30,-3.5156939082795127
1976-10-31,-3.333921282519819
1976-11-30,-3.396370871590845
1976-12-31,-3.732145368220469
1977-01-31,-3.6319962303867785
1977-02-28,-3.9995761596935937
1977-03-31,-3.6563449962007586
1977-04-30,-3.460555171599222
1977-05-31,-3.6782391211966083
1977-06-30,-3.7425240274364806
1977-07-31,-3.710361348752814
1977-08-31,-3.722987916129612
1977-09-30,-3.8374377844147607
1977-10-31,-3.612916979372843
1977-11-30,-3.2919069231902927
1977-12-31,-3.68586403698939
1978-01-31,-3.4985540796169246
1978-02-28,-3.6536771596809565
1978-03-31,-3.6914566600079457
1978-04-30,-3.1819337717076555
1978-05-31,-3.413542535234786
1978-06-30,-3.440848933142854
1978-07-31,-3.538119390226186
1978-08-31,-3.4571115542751856
1978-09-30,-3.480079036757332
1978-10-31,-3.0764989281355355
1978-11-30,-2.883057072297967
1978-12-31,-3.2002541351047826
1979-01-31,-3.4540963067188266
1979-02-28,-3.552242016712537
1979-03-31,-3.569320481575184
1979-04-30,-3.6730649968097033
1979-05-31,-3.4917011783905663
1979-06-30,-3.736752624533908
1979-07-31,-3.6277259312730084
1979-08-31,-3.798155461846417
1979-09-30,-3.3499674436926568
1979-10-31,-2.9720939280763568
1979-11-30,-3.237063912973616
1979-12-31,-3.833439412005487
1980-01-31,-3.1336523312362643
1980-02-29,-3.1330838391464617
1980-03-31,-2.6827225218098274
1980-04-30,-2.957332986963578
1980-05-31,-3.2487399357255664
1980-06-30,-3.298027535535717
1980-07-31,-3.304129413540037
1980-08-31,-3.1865042093477793
1980-09-30,-2.9646590106084063
1980-10-31,-3.062242034767034
1980-11-30,-3.0175364036767682
1980-12-31,-2.907681143191806
1981-01-31,-3.213225185711366
1981-02-28,-3.238694482961729
1981-03-31,-3.0942438693308754
1981-04-30,-3.544265769999846
1981-05-31,-3.4922962547805483
1981-06-30,-3.455030444235058
1981-07-31,-3.403401805692542
1981-08-31,-3.145416801671252
1981-09-30,-2.9450187245856405
1981-10-31,-3.093521723455992
1981-11-30,-3.252543372510464
1981-12-31,-3.4998484086341786
1982-01-31,-2.990606171758179
1982-02-28,-3.122550420673141
1982-03-31,-3.1610952403267656
1982-04-30,-3.347204296987733
1982-05-31,-3.530381458886495
1982-06-30,-3.2550862199117576
1982-07-31,-3.4745465499593706
1982-08-31,-2.5388082418905857
1982-09-30,-3.079123699765454
1982-10-31,-2.5493729125915907
1982-11-30,-2.6107486255025423
1982-12-31,-2.999854393120739
1983-01-31,-2.859954740440419
1983-02-28,-3.1311539784869145
1983-03-31,-3.23035297742465
1983-04-30,-3.281388716367181
1983-05-31,-3.410737184642772
1983-06-30,-3.300042091902946
1983-07-31,-3.0350088509813196
1983-08-31,-3.295996575030098
1983-09-30,-3.4303329656409773
1983-10-31,-3.398311687625518
1983-11-30,-3.546057095704139
1983-12-31,-3.7704984171188642
1984-01-31,-3.5720475974138175
1984-02-29,-3.1004451496103296
1984-03-31,-3.303367144797822
1984-04-30,-3.4373724878870227
1984-05-31,-3.485258740772587
1984-06-30,-3.19882006836337
1984-07-31,-3.5241184848255283
1984-08-31,-2.8941894312744583
1984-09-30,-3.485673490691174
1984-10-31,-3.3317246257656725
1984-11-30,-3.4430927123767385
1984-12-31,-3.3754045061623463
1985-01-31,-3.215211500599277
1985-02-28,-3.604282876070616
1985-03-31,-3.56512512878433
1985-04-30,-3.8413496358333705
1985-05-31,-3.548211805490497
1985-06-30,-3.6049430389933543
1985-07-31,-3.617293933863269
1985-08-31,-3.683112610633314
1985-09-30,-3.5247593390501017
1985-10-31,-3.5041223410001954
1985-11-30,-3.48955439636801
1985-12-31,-3.3538809535756866
1986-01-31,-3.123630336586438
1986-02-28,-3.414580101780291
1986-03-31,-3.3000225870648436
1986-04-30,-3.0033514699819923
1986-05-31,-3.3010199302802605
1986-06-30,-3.218319741676011
1986-07-31,-3.0034801713161263
1986-08-31,-3.344467326729359
1986-09-30,-2.7197549858858605
1986-10-31,-3.4621750320813427
1986-11-30,-3.1763419085852718
1986-12-31,-3.3393123194007273
1987-01-31,-3.0073927920680883
1987-02-28,-3.2857050887850754
1987-03-31,-3.113146592897446
1987-04-30,-2.7356327345298252
1987-05-31,-2.9971641098083577
1987-06-30,-3.422810845850884
1987-07-31,-3.5564285249309204
