Horizon,Model,MSE,RMSE,MAE,QLIKE
1-month ahead,HAR,0.162089263365351,0.4026031089861962,0.3073944163122573,0.5109202448501757
1-month ahead,Random Walk,0.16509734780958124,0.40632172943319345,0.3203512461964619,0.4223608476033055
1-month ahead,AR(1),0.17519927086355253,0.4185681197410435,0.31542165342662487,0.5870585378202535
1-month ahead,MLP,0.23640869991363334,0.4862187778291099,0.3736304593139946,0.8411815248122301
5-month ahead,HAR,0.22296287500027084,0.47218944820937164,0.3734160311839307,0.7892420443616434
5-month ahead,AR(1),0.23026463828369667,0.479858977496198,0.36968076345460926,0.9378440634312766
5-month ahead,Random Walk,0.2815643461549018,0.530626371522281,0.41337707051599004,0.8307352049672417
5-month ahead,MLP,0.31242906949539584,0.5589535486025613,0.42143696432813654,1.4697506819366477
